MAC Address,Timestamp,S1 Signal Strength,Distance to S1,S2 Signal Strength,Distance to S2,Year,Month,Day,Day of the Week,Hour,Minute,X,Y,Device,Area
00:0c:e7:03:ec:34,28074022,-73.5,3.37746654732589,-75.0,4.047279952571622,2023,5,18,Thursday,21,22,-1.0,-1.0,PC,Zona Estudo
00:0c:e7:86:b4:1a,28074025,-83.5,12.091374198067095,-75.0,4.03604670698141,2023,5,18,Thursday,21,25,-1.0,-1.0,PC,Zona Estudo
00:0c:e7:ca:1d:f2,28075344,-87.0,15.848931924611133,-79.33333333333333,6.678204175785639,2023,5,19,Friday,19,24,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076251,-73.78571428571429,3.853430153772824,-89.25,21.47953938349599,2023,5,20,Saturday,10,31,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076280,-69.66666666666667,2.182389286286599,-88.0,17.78279410038923,2023,5,20,Saturday,11,0,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076340,-70.75,3.251818968337348,-89.0,20.085002743036316,2023,5,20,Saturday,12,0,-1.0,-1.0,PC,Zona Estudo
00:1f:3c:96:54:87,28076400,-71.71428571428571,2.834765262743228,-91.5,27.716981036523173,2023,5,20,Saturday,13,0,-1.0,-1.0,PC,Zona Estudo
00:28:f8:97:98:48,28075245,-83.5,10.610092271509815,-70.75,2.4802418171795897,2023,5,19,Friday,17,45,-1.0,-1.0,PC,Zona Estudo
00:28:f8:97:98:48,28075266,-83.75,11.94766042817078,-70.06666666666666,2.450224575832147,2023,5,19,Friday,18,6,-1.0,-1.0,PC,Zona Estudo
00:45:e2:22:8f:c7,28075245,-83.82352941176471,11.20080949671114,-92.6875,31.73117964727264,2023,5,19,Friday,17,45,-1.0,-1.0,PC,Zona Estudo
00:e9:3a:d1:f7:f3,28076255,-58.483870967741936,0.912175416399594,-93.22727272727272,33.3060710199032,2023,5,20,Saturday,10,35,-1.0,-1.0,PC,Zona Estudo
00:e9:3a:d1:f7:f3,28076337,-64.0,1.1570204392252876,-95.0,39.81071705534973,2023,5,20,Saturday,11,57,-1.0,-1.0,PC,Zona Estudo
00:ef:25:c3:34:2f,28076393,-88.0,17.78279410038923,-88.0,17.78279410038923,2023,5,20,Saturday,12,53,3.999999999999992,17.32708186674369,PC,Zona Estudo
02:00:00:00:00:00,28075253,-87.5,19.091914656322267,-83.8,11.276668305190457,2023,5,19,Friday,17,53,18.833622323687877,3.129836323672328,PC,Zona Estudo
02:00:00:00:00:00,28076307,-91.0,25.118864315095795,-96.0,44.6683592150963,2023,5,20,Saturday,11,27,-1.0,-1.0,PC,Zona Estudo
02:01:65:c2:c2:aa,28075539,-90.0,22.535743732392294,-94.0,35.48133892335755,2023,5,19,Friday,22,39,-1.0,-1.0,PC,Zona Estudo
02:0c:4c:08:21:5d,28075249,-92.0,28.183829312644534,-92.0,28.183829312644534,2023,5,19,Friday,17,49,3.999999999999847,27.898534633996142,PC,Cabines de Estudo
02:0c:93:68:54:fe,28075133,-88.0,17.86144972489639,-91.66666666666669,27.16217431346162,2023,5,19,Friday,15,53,-1.0,-1.0,PC,Zona Estudo
02:0c:93:68:54:fe,28075144,-81.75,10.115574347936008,-80.71428571428571,8.707316030269874,2023,5,19,Friday,16,4,5.656718246101643,8.386082701287995,PC,Zona Estudo
02:0d:09:ff:ea:b8,28075033,-74.0,3.595371659361399,-74.66666666666667,3.878866162866901,2023,5,19,Friday,14,13,-1.0,-1.0,PC,Zona Estudo
02:0e:6d:57:e7:31,28074038,-79.5,6.962190858805088,-81.5,8.53972892192069,2023,5,18,Thursday,21,38,-1.0,-1.0,PC,Zona Estudo
02:0e:94:45:19:f6,28075168,-91.0,25.118864315095795,-94.5,37.64602798935364,2023,5,19,Friday,16,28,-1.0,-1.0,PC,Zona Estudo
02:10:49:23:18:06,28075145,-88.0,17.78279410038923,-92.5,29.903302957164165,2023,5,19,Friday,16,5,-1.0,-1.0,PC,Zona Estudo
02:15:cd:8b:05:6d,28076328,-90.0,22.3872113856834,-90.0,22.3872113856834,2023,5,20,Saturday,11,48,4.000000000000017,22.02696605588869,PC,Literatura Linguas e Arte
02:1d:1c:f0:cf:2e,28075067,-85.0,12.589254117941676,-81.0,7.943282347242816,2023,5,19,Friday,14,47,9.962099049880758,7.6971359456928115,PC,Historia Biografias e Literatura
02:25:e0:ec:88:41,28075221,-90.0,23.735854263147463,-94.0,35.48133892335755,2023,5,19,Friday,17,21,-1.0,-1.0,PC,Zona Estudo
02:2e:27:8a:86:2a,28075145,-73.0,3.1622776601683795,-88.0,17.78279410038923,2023,5,19,Friday,16,5,-1.0,-1.0,PC,Zona Estudo
02:35:39:89:4f:08,28074047,-85.0,12.924465962305566,-90.0,22.3872113856834,2023,5,18,Thursday,21,47,-1.0,-1.0,PC,Zona Estudo
02:3e:4c:80:a9:ee,28074043,-81.5,8.764878993910784,-83.0,10.066346962178546,2023,5,18,Thursday,21,43,2.468235163433576,8.410167593805046,PC,Zona Estudo
02:46:c1:7a:20:94,28076232,-75.0,4.087074998220551,-93.0,31.83258411800104,2023,5,20,Saturday,10,12,-1.0,-1.0,PC,Zona Estudo
